FishEC,Sample,Species_Field_ID,geneticSppID,geneticSex,Preservation_Short,Place.Fished,Collected.by,General.Location,standard_length..mm.,total_length..mm.,collection_date,Landing.Site,Landing_site_Lat,Landing_site_long,Date,NumDays,TotalDays,library
138458.BUH003,BUH003,Stolo,Limnothrissa,Limno_Sex_B,dried,NA,Katie,North Mahale,32,NA,July.17.2015,Buhingu,-5.991219,29.787729,7/17/15,197,-168,FGX lib 1
138459.BUH004,BUH004,Stolo,Limnothrissa,Limno_Sex_A,dried,NA,Katie,North Mahale,25,NA,July.17.2015,Buhingu,-5.991219,29.787729,7/17/15,197,-168,FGX lib 1
138460.BUH005,BUH005,Stolo,Stolothrissa,Stolo_Sex_A,dried,NA,Katie,North Mahale,46,NA,July.17.2015,Buhingu,-5.991219,29.787729,7/17/15,197,-168,FGX lib 1
138461.BUH006,BUH006,Stolo,Limnothrissa,Limno_Sex_A,dried,NA,Katie,North Mahale,24,NA,July.17.2015,Buhingu,-5.991219,29.787729,7/17/15,197,-168,FGX lib 1
138463.BUH009,BUH009,Stolo,Limnothrissa,Limno_Sex_B,dried,NA,Katie,North Mahale,32,NA,July.17.2015,Buhingu,-5.991219,29.787729,7/17/15,197,-168,FGX lib 1
138464.BUH010,BUH010,Stolo,Stolothrissa,Stolo_Sex_A,dried,NA,Katie,North Mahale,43,NA,July.17.2015,Buhingu,-5.991219,29.787729,7/17/15,197,-168,FGX lib 1
138465.BUH011,BUH011,Stolo,Stolothrissa,Stolo_Sex_A,dried,NA,Katie,North Mahale,39,NA,July.17.2015,Buhingu,-5.991219,29.787729,7/17/15,197,-168,FGX lib 1
138466.BUH012,BUH012,Unclear,Stolothrissa,Stolo_Sex_B,Dried,Unknown,0,North Mahale,36,NA,October.21.2015,Buhingu,-5.991219,29.787729,10/21/15,293,-72,FGX lib 2
138467.BUH013,BUH013,Unclear,Stolothrissa,Stolo_Sex_B,Dried,Unknown,0,North Mahale,49,54,October.21.2015,Buhingu,-5.991219,29.787729,10/21/15,293,-72,FGX lib 2
138468.BUH015,BUH015,Unclear,Limnothrissa,Limno_Sex_A,Dried,Unknown,0,North Mahale,37,NA,October.21.2015,Buhingu,-5.991219,29.787729,10/21/15,293,-72,FGX lib 2
138469.BUH016,BUH016,Unclear,Limnothrissa,Limno_Sex_B,Dried,Unknown,0,North Mahale,35,NA,October.21.2015,Buhingu,-5.991219,29.787729,10/21/15,293,-72,FGX lib 2
138470.BUH017,BUH017,Unclear,Limnothrissa,Limno_Sex_B,Dried,Unknown,0,North Mahale,36,NA,October.21.2015,Buhingu,-5.991219,29.787729,10/21/15,293,-72,FGX lib 2
138393.KAB10,KAB10,Stolo,Stolothrissa,Stolo_Sex_A,Dried,NA,Floating clinic,North DRC,35,39,July.8.2016,Kabimba_DRC,-4.8710186,28.7432562,7/8/16,189,189,JJ lib 1
138394.KAB11,KAB11,Stolo,Limnothrissa,Limno_Sex_A,Dried,NA,Floating clinic,North DRC,24,27,July.8.2016,Kabimba_DRC,-4.8710186,28.7432562,7/8/16,189,189,JJ lib 1
138395.KAB12,KAB12,Stolo,Stolothrissa,Stolo_Sex_B,Dried,NA,Floating clinic,North DRC,40,44,July.8.2016,Kabimba_DRC,-4.8710186,28.7432562,7/8/16,189,189,JJ lib 1
138396.KAB13,KAB13,Stolo,Stolothrissa,Stolo_Sex_B,Dried,NA,Floating clinic,North DRC,31,34,July.8.2016,Kabimba_DRC,-4.8710186,28.7432562,7/8/16,189,189,JJ lib 1
138397.KAB14,KAB14,Stolo,Limnothrissa,Limno_Sex_A,Dried,NA,Floating clinic,North DRC,38,43,July.8.2016,Kabimba_DRC,-4.8710186,28.7432562,7/8/16,189,189,JJ lib 1
138398.KAB15,KAB15,Stolo,Stolothrissa,Stolo_Sex_B,Dried,NA,Floating clinic,North DRC,39,43,July.8.2016,Kabimba_DRC,-4.8710186,28.7432562,7/8/16,189,189,JJ lib 1
138399.KAB16,KAB16,Stolo,Stolothrissa,Stolo_Sex_B,Dried,NA,Floating clinic,North DRC,41,45,July.8.2016,Kabimba_DRC,-4.8710186,28.7432562,7/8/16,189,189,JJ lib 1
138471.KIG002,KIG002,Stolo,Stolothrissa,Stolo_Sex_A,dried,near Kigoma,McIntyre,Kigoma,42,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138472.KIG003,KIG003,Stolo,Stolothrissa,Stolo_Sex_B,dried,near Kigoma,McIntyre,Kigoma,46,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138474.KIG006,KIG006,Stolo,Stolothrissa,Stolo_Sex_A,dried,near Kigoma,McIntyre,Kigoma,40,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138475.KIG007,KIG007,Stolo,Stolothrissa,Stolo_Sex_B,dried,near Kigoma,McIntyre,Kigoma,39,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138476.KIG008,KIG008,Stolo,Stolothrissa,Stolo_Sex_B,dried,near Kigoma,McIntyre,Kigoma,48,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
